1	1	I	24.966685251363		1500
2	1	I	71.700503437266		1500
2	2	B	73.532796084379		1
3	1	I	89.106264976266		1500
3	2	B	89.924874191468		3
3	3	B	90.348965221309		4
3	4	P	90.410847072385		750
3	5	B	91.75920445129		375
3	6	B	92.06387898273		376
4	1	I	92.771149604418		1500
4	2	P	94.028069471103		753
5	1	I	103.825415989805		1500
5	2	P	104.382292029864		752
5	3	B	105.275661253852		378
5	4	B	105.369913956217		377
5	5	P	107.789119875775		751
6	1	I	110.779432553531		1500
7	1	I	110.980272810496		1500
7	2	P	112.070676352549		751
7	3	B	112.157293303681		383
6	2	P	112.304436275788		752
7	4	B	112.373827001473		376
7	5	P	113.573793480933		750
9	1	I	118.835684388813		1500
8	1	I	119.129561624794		1500
9	2	P	120.63124327559		754
8	2	P	120.713386386243		750
8	3	B	121.138063822708		380
9	3	B	121.181204719131		378
9	4	B	121.336587277157		378
9	5	P	121.393442961577		766
8	4	B	122.502554952193		375
8	5	P	122.555530831199		752
9	6	B	123.248055662713		390
9	7	B	123.578188031275		389
10	1	I	128.416099390647		1500
11	1	I	132.615719027537		1500
11	2	P	137.792159871123		757
11	3	B	138.389812308011		380
11	4	B	138.575681820888		381
13	1	I	189.957600770797		1500
12	1	I	190.500222012149		1500
12	2	P	191.546879579957		753
12	3	B	191.676547796028		377
12	4	B	191.984852883032		383
12	5	P	193.051614243442		750
12	6	B	193.066053332308		387
12	7	B	195.319310697862		387
13	2	B	196.209017481032		17
13	3	P	197.66044546531		761
13	4	B	197.840046881321		381
13	5	B	198.129892850811		382
14	1	I	201.987404258349		1500
14	2	B	202.914187251042		10
15	1	I	206.441259105756		1500
15	2	P	206.882675644264		755
16	1	I	236.859088585241		1500
16	2	P	237.901071282833		760
18	1	I	238.847965615892		1500
16	3	B	239.578133971414		391
18	2	P	239.740784058951		751
18	3	B	240.100755828972		380
19	1	I	240.483790507098		1500
16	4	B	240.699066041035		388
18	4	B	240.875245257912		377
16	5	P	240.91040829916		762
19	2	P	241.477323985921		754
16	6	B	241.560063710356		384
19	3	B	242.810839738099		379
19	4	B	243.135947517857		378
17	1	I	243.948494046112		1500
18	5	P	244.315220204519		758
19	5	P	246.3269362314		760
19	6	B	246.814639433047		384
19	7	B	246.833792847814		381
19	8	P	247.080827541717		752
20	1	I	252.68076730736		1500
20	2	P	253.877085141133		755
21	1	I	260.502669259358		1500
21	2	P	260.599450331621		752
21	3	B	261.896712931814		377
21	4	B	262.17274774159		391
21	5	P	263.489315984111		751
21	6	B	263.909443342733		383
22	1	I	268.588962310972		1500
22	2	P	269.37305787991		761
22	3	B	269.951197069034		381
22	4	B	271.307757402062		383
22	5	P	272.235774359044		751
22	6	B	272.285671687947		378
24	1	I	275.860092956789		1500
24	2	P	275.865295864513		753
23	1	I	276.472606119139		1500
23	2	B	277.022653845508		0
24	3	B	277.510941255578		379
24	4	B	277.67104681875		378
23	3	B	277.779913428751		1
24	5	P	277.986141172381		763
23	4	P	278.03276320949		752
24	6	B	278.878153170208		387
26	1	I	290.590827645435		1500
25	1	I	292.107141992321		1500
26	2	P	292.346175664847		760
26	3	B	293.833552491439		384
26	4	B	295.617305779484		384
27	1	I	295.954174751036		1500
26	5	P	296.034295430842		760
26	6	B	296.336095532954		383
27	2	B	297.148689706845		11
27	3	B	297.784625498794		5
27	4	P	298.576593808835		755
28	1	I	301.643393002954		1500
28	2	B	301.653933987759		4
28	3	P	302.875730568963		762
28	4	B	304.105918585731		386
28	5	B	304.179871260834		395
28	6	P	304.634218947346		751
28	7	B	306.068739611417		376
28	8	B	306.889787989376		377
29	1	I	310.190977650843		1500
30	1	I	311.595735989434		1500
30	2	B	311.822999139711		4
30	3	P	313.155367000575		755
29	2	P	313.630410028766		750
29	3	B	314.817471633389		376
29	4	B	314.994666516617		379
29	5	P	315.107341427208		751
30	4	B	316.067300616588		382
29	6	B	316.075238409624		376
30	5	B	316.226842420168		383
32	1	I	337.953043844453		1500
32	2	P	339.137830275014		750
31	1	I	339.576203235228		1500
32	3	B	339.633224501425		384
31	2	B	339.725045879149		8
31	3	B	340.330357967348		3
32	4	B	340.472509843699		376
31	4	P	340.83315253383		750
32	5	P	341.139739116635		751
31	5	B	341.321325919277		380
32	6	B	341.612430387441		378
32	7	B	342.167659712935		378
